Time,TempC,C3,C5,C7,E3,E5,E7,G3,G5,G7,I3,I5,I7
426.03,29.1,972,1079,986,1519,1391,1586,229,245,210,15,23,13
428.03,28.9,992,1075,1002,1529,1403,1591,238,254,216,19,22,3
430.03,29,966,1102,1003,1537,1412,1629,216,261,210,7,18,7
432.03,29,1001,1092,1022,1533,1446,1625,233,258,218,13,9,8
434.03,29,1024,1104,1020,1568,1439,1608,251,264,222,14,25,7
436.03,29.1,1016,1110,1052,1545,1484,1645,256,248,236,17,26,7
438.03,29,1016,1127,1042,1569,1475,1648,242,254,221,12,16,8
440.03,29,1019,1154,1054,1604,1472,1672,250,268,238,11,20,3
442.03,29,1059,1133,1059,1608,1488,1676,250,266,237,11,7,6
444.03,29,1054,1148,1065,1581,1493,1661,264,289,244,14,17,0
446.03,29,1068,1156,1082,1595,1472,1688,265,282,242,15,19,12
448.03,29,1050,1167,1076,1597,1496,1690,257,285,255,20,23,6
450.03,29,1066,1146,1080,1610,1502,1703,268,301,244,15,20,3
452.03,29,1066,1188,1107,1632,1522,1756,267,296,255,16,21,8
454.03,29,1079,1163,1106,1653,1543,1762,272,299,259,18,18,9
456.03,29.1,1089,1182,1107,1656,1547,1710,264,287,240,20,21,9
458.03,29,1099,1179,1122,1636,1551,1721,273,287,248,16,22,10
460.03,29,1100,1194,1105,1640,1567,1739,268,297,252,11,25,5
462.03,29,1106,1220,1105,1666,1549,1776,272,296,253,13,18,8
464.03,29,1109,1229,1128,1672,1573,1774,282,302,248,13,20,12
466.03,29,1114,1227,1152,1693,1584,1780,287,306,256,19,20,10
468.03,29,1128,1225,1150,1707,1590,1775,286,314,263,23,16,11
470.03,29.1,1130,1236,1158,1676,1595,1803,279,298,272,10,18,12
472.03,29,1124,1234,1163,1733,1628,1817,287,304,264,11,20,3
474.03,29,1165,1274,1160,1725,1610,1838,285,318,263,13,15,9
476.03,29,1147,1284,1162,1734,1625,1825,290,306,271,10,16,6
478.03,29,1162,1263,1154,1747,1636,1831,289,317,275,18,17,7
480.03,29,1163,1296,1179,1741,1655,1848,295,313,274,25,19,9
482.03,29,1189,1296,1190,1765,1656,1855,287,321,284,19,17,7
484.03,29,1185,1314,1199,1798,1670,1857,300,315,281,17,15,7
486.03,29.1,1197,1320,1215,1782,1675,1880,297,305,284,12,18,10
488.03,29,1198,1316,1211,1798,1677,1880,302,335,290,20,22,4
490.03,29,1188,1305,1234,1810,1679,1913,301,339,292,18,20,7
492.03,29,1190,1304,1228,1816,1712,1928,306,340,296,13,21,5
494.03,29,1200,1347,1225,1804,1694,1936,311,337,289,18,17,16
496.03,29,1231,1339,1258,1835,1704,1936,305,337,285,19,20,7
498.03,29,1237,1355,1248,1835,1727,1935,315,338,305,20,19,1
500.03,29,1245,1378,1260,1825,1731,1969,305,347,296,15,17,8
502.03,29,1251,1388,1278,1874,1736,1970,328,350,295,22,19,4
504.03,29,1233,1369,1264,1857,1760,1995,318,364,298,17,17,0
506.03,29.1,1261,1381,1273,1858,1761,1958,323,349,307,15,21,2
