Original_Order,MG_Glut,K_Glut,DTT,T7_RNAP,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
139,12.0,320.0,2.8,0.04,J8,1,A4,B1
115,12.0,320.0,4.8,0.4,J10,1,A11,B11
21,12.0,520.0,2.8,0.4,J12,1,C13,B11
11,40.0,520.0,2.8,0.04,J14,1,E3,B1
79,12.0,320.0,4.8,0.04,J16,1,A11,B1
101,12.0,520.0,4.8,0.04,J18,1,A1,B1
136,12.0,320.0,2.8,0.04,J20,1,A4,B2
65,12.0,520.0,2.8,0.04,J22,1,C13,B2
81,12.0,520.0,4.8,0.4,L2,1,A1,B11
104,12.0,520.0,4.8,0.04,L4,1,A1,B2
41,26.0,420.0,3.8,0.24,L6,1,A16,D5
53,26.0,420.0,3.8,0.04,L8,1,A16,B2
44,26.0,420.0,3.8,0.24,L10,1,C1,D5
51,26.0,420.0,3.8,0.04,L12,1,C1,B2
72,40.0,320.0,4.8,0.4,L14,1,A14,B11
135,12.0,320.0,2.8,0.04,L16,1,A4,B2
120,26.0,630.8,3.8,0.24,L18,1,A7,D5
12,40.0,520.0,2.8,0.04,L20,1,E3,B2
114,26.0,420.0,3.8,0.24,L22,1,C1,D5
56,40.0,320.0,4.8,0.04,N2,1,A14,B2
50,26.0,420.0,3.8,0.04,N4,1,C1,B2
121,26.0,630.8,3.8,0.24,N6,1,A7,D5
129,12.0,320.0,2.8,0.4,N8,1,A4,B11
87,40.0,320.0,2.8,0.4,B2,2,A1,B1
43,26.0,420.0,3.8,0.24,B4,2,A3,B9
1,26.0,209.2,3.8,0.24,B6,2,A9,B9
71,40.0,320.0,4.8,0.4,B8,2,A11,B1
54,26.0,420.0,3.8,0.04,B10,2,A3,D4
14,40.0,520.0,2.8,0.04,B12,2,A14,D4
6,12.0,420.0,3.8,0.24,B14,2,C1,B9
26,40.0,520.0,2.8,0.4,B16,2,A14,B1
70,40.0,320.0,4.8,0.4,B18,2,A11,B1
100,12.0,520.0,4.8,0.04,B20,2,C2,D4
30,40.0,520.0,4.8,0.4,B22,2,C4,B1
117,12.0,320.0,4.8,0.4,D2,2,C7,B1
15,55.52,420.0,3.8,0.24,D4,2,C10,B9
18,55.52,420.0,3.8,0.24,D6,2,C10,B9
77,12.0,320.0,4.8,0.04,D8,2,C7,D4
22,12.0,520.0,2.8,0.4,D10,2,C12,B1
10,40.0,520.0,2.8,0.04,D12,2,A14,D4
58,40.0,320.0,4.8,0.04,D14,2,A11,D4
95,26.0,420.0,5.92,0.24,D16,2,C15,B9
75,12.0,320.0,4.8,0.04,D18,2,C7,D4
64,26.0,420.0,1.68,0.24,D20,2,E2,B9
69,12.0,520.0,2.8,0.04,D22,2,C12,D4
3,26.0,209.2,3.8,0.24,F2,2,A9,B9
40,26.0,420.0,3.8,0.24,F4,2,A3,B9
76,12.0,320.0,4.8,0.04,F6,2,C7,D4
34,40.0,520.0,4.8,0.4,F8,2,C4,B1
27,40.0,520.0,2.8,0.4,F10,2,A14,B1
94,26.0,420.0,3.8,0.6,F12,2,A3,D14
85,40.0,320.0,2.8,0.4,F14,2,A1,B1
97,26.0,420.0,5.92,0.24,F16,2,C15,B9
52,26.0,420.0,3.8,0.04,F18,2,A3,D4
92,26.0,420.0,3.8,0.6,F20,2,A3,D14
99,26.0,420.0,5.92,0.24,F22,2,C15,B9
7,12.0,420.0,3.8,0.24,H2,2,C1,B9
48,40.0,520.0,4.8,0.04,H4,2,C4,D4
61,26.0,420.0,1.68,0.24,H6,2,E2,B10
127,12.0,320.0,2.8,0.4,H8,2,E3,B1
110,26.0,420.0,3.8,0.24,H10,2,A3,B10
137,12.0,320.0,2.8,0.04,H12,2,E3,D4
39,26.0,420.0,3.8,0.24,H14,2,A3,B10
84,12.0,520.0,4.8,0.4,H16,2,C2,B1
2,26.0,209.2,3.8,0.24,H18,2,A9,B10
67,12.0,520.0,2.8,0.04,H20,2,C12,D5
55,40.0,320.0,4.8,0.04,H22,2,A11,D5
49,40.0,520.0,4.8,0.04,J2,2,C4,D5
68,12.0,520.0,2.8,0.04,J4,2,C12,D5
80,12.0,520.0,4.8,0.4,J6,2,C2,B2
132,26.0,420.0,3.8,0.24,J8,2,A3,B10
36,26.0,420.0,3.8,0.24,J10,2,A3,B10
78,12.0,320.0,4.8,0.04,J12,2,C7,D5
134,26.0,420.0,3.8,0.24,J14,2,A3,B10
25,40.0,520.0,2.8,0.4,J16,2,A14,B2
111,26.0,420.0,3.8,0.24,J18,2,A3,B10
130,26.0,420.0,3.8,0.24,J20,2,A4,B10
46,40.0,520.0,4.8,0.04,J22,2,C4,D5
32,40.0,520.0,4.8,0.4,L2,2,C4,B2
73,40.0,320.0,4.8,0.4,L4,2,A11,B2
47,40.0,520.0,4.8,0.04,L6,2,C4,D5
138,12.0,320.0,2.8,0.04,L8,2,E3,D5
113,26.0,420.0,3.8,0.24,L10,2,A4,B10
96,26.0,420.0,5.92,0.24,L12,2,C15,B10
57,40.0,320.0,4.8,0.04,L14,2,A11,D5
123,26.0,630.8,3.8,0.24,L16,2,E5,B10
106,40.0,320.0,2.8,0.04,L18,2,A1,D5
83,12.0,520.0,4.8,0.4,L20,2,C2,B2
17,55.52,420.0,3.8,0.24,L22,2,C10,B11
98,26.0,420.0,5.92,0.24,N2,2,C15,B11
66,12.0,520.0,2.8,0.04,N4,2,C12,D5
126,12.0,320.0,2.8,0.4,N6,2,E3,B2
109,40.0,320.0,2.8,0.04,N8,2,A1,D5
