"","run.order","std.order","lysate_aspirate_rate","lysate_dispense_rate","substrates_aspirate_rate","substrates_dispense_rate"
"105",105,55,0.5,0.6,0.7,1.2
"106",106,20,0.75,0.8,0.95,0.95
"107",107,14,0.5,0.6,0.7,0.7
"108",108,61,0.5,0.2,1.2,1.2
"109",109,4,0.75,0.8,0.95,0.95
"110",110,2,0.5,0.2,0.7,0.7
"111",111,25,0.5,0.2,1.2,0.7
"112",112,27,1,0.2,1.2,0.7
"113",113,9,1,0.2,0.7,0.7
"114",114,10,1,0.2,0.7,0.7
"115",115,1,0.24,0.4,0.95,0.95
"116",116,72,0.5,0.6,1.2,1.2
"117",117,3,0.75,0.2,0.95,0.95
"118",118,19,1,0.6,0.7,0.7
"119",119,59,1,0.6,0.7,1.2
"120",120,66,1,0.2,1.2,1.2
"121",121,16,1,0.6,0.7,0.7
"122",122,51,0.5,0.6,0.7,1.2
"123",123,80,1,0.6,1.2,1.2
"124",124,64,0.5,0.2,1.2,1.2
